precio,ambientes,no_baños,terreno_m2,año_constr,no_dormitorios,area_constr_m2,estacionamientos,latitud,longitud,tipo_de_propiedad,ofertado_como,ciudad,zona,provincia,dpto
70000.0,,2.0,,2022,2.0,57.8,,-17.726,-63.163,Departamento,En Venta,Santa Cruz de la Sierra,Norte, Andrés Ibáñez, Santa Cruz
70000.0,,2.0,,2022,2.0,57.8,,-17.726,-63.163,Departamento,En Venta,Santa Cruz de la Sierra,Norte, Andrés Ibáñez, Santa Cruz
70000.0,5.0,2.0,,2022,2.0,57.8,,-17.726,-63.163,Departamento,En Venta,Santa Cruz de la Sierra,Norte, Andrés Ibáñez, Santa Cruz
70000.0,5.0,2.0,,2022,2.0,57.8,,-17.726,-63.163,Departamento,En Venta,Santa Cruz de la Sierra,Norte, Andrés Ibáñez, Santa Cruz
70000.0,,2.0,,2022,2.0,57.8,,-17.726,-63.163,Departamento,En Venta,Santa Cruz de la Sierra,Norte, Andrés Ibáñez, Santa Cruz
70000.0,4.0,2.0,409.0,2001,3.0,115.0,,-17.751,-63.123,Casa,En Venta,Santa Cruz de la Sierra,Este, Andrés Ibáñez, Santa Cruz
70262.0,,2.0,,2024,2.0,56.0,,-17.765,-63.194,Departamento,En Venta,Santa Cruz de la Sierra,Equipetrol/NorOeste, Andrés Ibáñez, Santa Cruz
70560.0,,2.0,,2023,2.0,78.0,,-17.767,-63.246,Departamento,En Venta,Porongo,Urubo, Andrés Ibáñez, Santa Cruz
70560.0,,2.0,,2023,2.0,78.0,,-17.767,-63.246,Departamento,En Venta,Porongo,Urubo, Andrés Ibáñez, Santa Cruz
71000.0,2.0,1.0,"1,590",2020,1.0,"4,615",,-17.767,-63.196,Departamento,En Venta,Santa Cruz de la Sierra,Equipetrol/NorOeste, Andrés Ibáñez, Santa Cruz
71302.0,,2.0,,2024,2.0,56.0,,-17.765,-63.194,Departamento,En Venta,Santa Cruz de la Sierra,Equipetrol/NorOeste, Andrés Ibáñez, Santa Cruz
72000.0,7.0,2.0,300.0,2019,3.0,197.0,,-17.609,-63.165,Casa con Espacio Comercial,En Venta,Santa Cruz de la Sierra,Norte, Andrés Ibáñez, Santa Cruz
72000.0,,1.0,,2018,1.0,50.34,1.0,-17.761,-63.2,Estudio/Monoambiente,En Venta,Santa Cruz de la Sierra,Equipetrol/NorOeste, Andrés Ibáñez, Santa Cruz
